booking_origin,Fri,Mon,Sat,Sun,Thu,Tue,Wed
(not set),0.2727272727272727,0.0,1.0,0.16666666666666666,0.07692307692307693,0.07692307692307693,0.42857142857142855
Afghanistan,,,,,0.0,,
Algeria,,,,,0.0,,
Argentina,,0.0,,,0.0,0.0,0.0
Australia,0.04327535002121341,0.05026362038664323,0.0531966813079551,0.04931141714793425,0.0549530007230658,0.05022488755622189,0.052612481857764876
Austria,0.0,0.0,,0.0,0.0,,0.0
Bahrain,,,0.5,,0.6666666666666666,,
Bangladesh,0.0,0.0,0.2,0.0,0.0,0.0,0.2
Belarus,0.0,,,,,,
Belgium,0.0,,0.0,0.0,,0.0,1.0
Bhutan,,,,,0.0,,
Brazil,0.0,0.0,,0.0,0.0,0.0,
Brunei,0.3103448275862069,0.11764705882352941,0.11764705882352941,0.24,0.34782608695652173,0.26666666666666666,0.25
Bulgaria,,,,,,0.0,
Cambodia,0.4375,0.16666666666666666,0.18181818181818182,0.375,0.2,0.42105263157894735,0.19230769230769232
Canada,0.0,0.0,0.0,0.14285714285714285,0.0,0.09090909090909091,0.0
Chile,0.0,0.0,,0.0,0.0,0.2,0.0
China,0.21444201312910285,0.20471014492753623,0.22448979591836735,0.17663817663817663,0.18442622950819673,0.22932330827067668,0.2159827213822894
Colombia,,,,,0.0,0.0,0.0
Croatia,,0.0,,,,,0.0
Cyprus,,,,,,0.0,0.0
Czech Republic,0.0,0.0,0.0,,0.0,,0.5
Czechia,,,,0.0,,,
Denmark,0.0,1.0,1.0,0.0,0.0,1.0,
Egypt,,,0.0,,,,
Estonia,,,,,,,0.0
Finland,0.0,0.0,0.0,0.0,,0.0,0.0
France,0.2,0.2727272727272727,0.0,0.14285714285714285,0.125,0.3333333333333333,0.3333333333333333
Germany,0.14285714285714285,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.5,0.42857142857142855,0.14285714285714285
Ghana,,,,,,0.0,
Gibraltar,,,,,0.0,,
Greece,0.0,1.0,0.0,0.0,,0.0,0.0
Guam,,,,0.0,,,
Guatemala,,,0.0,,,,
Hong Kong,0.1956521739130435,0.24324324324324326,0.13793103448275862,0.25,0.24444444444444444,0.2608695652173913,0.32727272727272727
Hungary,0.0,0.0,0.0,,,,
India,0.08247422680412371,0.11377245508982035,0.10112359550561797,0.09289617486338798,0.12429378531073447,0.061452513966480445,0.1388888888888889
Indonesia,0.27009646302250806,0.22894736842105262,0.23344947735191637,0.23668639053254437,0.3052959501557632,0.2638888888888889,0.30625
Iran,0.0,0.0,,0.0,0.0,0.0,0.0
Iraq,,,,,,1.0,
Ireland,0.0,0.0,0.0,,,0.0,0.0
Israel,,0.0,,,,,0.0
Italy,0.16666666666666666,0.1111111111111111,0.2857142857142857,0.4,0.08333333333333333,0.0,0.3076923076923077
Japan,0.12915129151291513,0.15033783783783783,0.11198428290766209,0.09667194928684628,0.11583011583011583,0.13197026022304834,0.130879345603272
Jordan,,,,,,,0.0
Kazakhstan,,,1.0,0.0,1.0,,
Kenya,0.0,,0.0,,,,1.0
Kuwait,0.0,1.0,0.0,0.5,,0.0,
Laos,0.0,0.0,0.4,0.0,0.25,0.4,0.5
Lebanon,,0.0,,,,,
